filename,duration,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_bandwidth_mean,zero_crossing_rate_mean,rms_mean,rms_std,tempo,onset_density,detected_key,key_confidence,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_C_mean,chroma_C#_mean,chroma_D_mean,chroma_D#_mean,chroma_E_mean,chroma_F_mean,chroma_F#_mean,chroma_G_mean,chroma_G#_mean,chroma_A_mean,chroma_A#_mean,chroma_B_mean,tonnetz_1_mean,tonnetz_2_mean,tonnetz_3_mean,tonnetz_4_mean,tonnetz_5_mean,tonnetz_6_mean,energy_range,brightness_range,avg_phase_duration,phase_duration_std,has_climax,has_breakdown,has_build_up,structural_complexity,energy_progression,brightness_progression,mood_descriptors,primary_mood,mood_confidence,character_tags,primary_character,character_confidence,num_phases,phase_analysis_available
2021 12 20 chiminy biscuits.aif,328.0000,1556.6000,1684.6100,2556.0700,3007.5800,0.0200,0.0120,0.0070,129.2000,1.9820,D,0.7020,-495.7945,64.3036,160.3496,37.0591,24.0872,25.6987,25.6560,12.9040,15.9556,12.1282,11.0938,10.0666,10.3279,8.9221,7.1443,9.9409,6.3261,7.4382,5.5943,7.1104,5.0592,6.7475,3.9715,7.0224,2.7136,6.2348,0.5210,0.5670,0.7020,0.6410,0.5820,0.5460,0.5180,0.5800,0.6000,0.5400,0.5260,0.5230,-0.0430,-0.0360,0.0700,0.1140,0.0460,-0.0530,0.1197,12766.6740,13.6700,3.4100,True,False,True,5.0000,0.0000,brightening,"synthetic, atmospheric, warm, droning",synthetic,0.9630,"analog_synth, acoustic_instrument, rich_texture, pure_tone, bright_harmonics, warm_harmonics",rich_texture,1.0000,24,True
2022 06 05 negative 60.aif,252.0000,1494.5400,2822.0700,2306.8400,2168.4700,0.0300,0.0270,0.0200,74.9000,1.0910,C,0.7950,-496.1347,100.2029,166.5458,70.2560,26.2144,33.6931,14.6288,16.3487,35.1009,14.3872,15.9838,9.8520,0.5856,9.4066,-1.0963,7.8137,-2.8493,7.9978,-3.7017,6.7018,-4.4089,8.6439,-4.2895,7.2353,-6.1265,7.3507,0.7950,0.4990,0.2450,0.1650,0.1400,0.0830,0.2850,0.5040,0.3550,0.3830,0.4490,0.6130,0.1260,-0.1570,0.3400,0.1220,-0.1160,0.0100,0.1430,13104.4330,63.0000,89.7000,False,False,False,4.0000,0.0000,brightening,"organic, pensive, crystalline, warm, droning",organic,0.9170,"analog_synth, acoustic_instrument, rich_texture, pure_tone, bright_harmonics, warm_harmonics",acoustic_instrument,0.8400,4,True
Timeliner.wav,172.8700,1277.0200,889.5100,1891.5300,1268.6200,0.0480,0.1590,0.1080,101.3000,1.2780,C,0.4620,-304.0834,83.8132,124.6389,45.6289,-1.4438,49.5993,-9.7643,29.2351,-3.7132,19.9056,-0.7417,16.9986,1.1782,14.1654,-2.1555,13.1737,-9.3185,15.2430,-12.1572,14.8465,-11.2800,13.7824,-10.9260,12.5897,-10.6712,13.2144,0.4620,0.1950,0.1420,0.1690,0.1340,0.1800,0.2310,0.3310,0.1160,0.1010,0.2390,0.2510,-0.1400,0.4420,0.1730,0.0370,0.0930,0.0970,0.1466,1515.7590,17.2900,3.7200,True,False,True,4.0000,0.0000,brightening,"pensive, warm, driving, percussive, droning",percussive,0.9170,"analog_synth, mellotron, rich_texture, pure_tone, bright_harmonics, warm_harmonics",warm_harmonics,1.0000,10,True
