,count,files,avg_tempo,avg_duration,avg_phases,common_key,avg_energy,avg_brightness,energy_variation,has_climax_percent,has_breakdown_percent
Cluster_0,3,"['2022-12-14 a quatrax cosmos memory.aif', '2022 09 17 caving in.aif', '2022-09-25 while madeline sleeps.aif']",122.42594880151387,634.0,29.333333333333332,C,0.12667109072208405,1140.4015137525075,0.30125319957733154,66.66666666666666,0.0
Cluster_1,1,['2022 06 05 negative 60.aif'],74.89809782608695,252.0,4.0,C,0.026594288647174835,1494.544780374897,0.03012022003531456,0.0,100.0
Cluster_2,3,"['2021 04 18 grampy rabbit.aif', '2021 12 20 chiminy biscuits.aif', '2022 01 15 dont pick up.aif']",123.73046875,430.1666666666667,21.0,D,0.05965091288089752,1545.8151326670443,0.09805955737829208,66.66666666666666,0.0
Cluster_3,1,['2023 04 13 centers.aif'],126.04801829268293,576.5,2.0,D,0.010998241603374481,2305.3786914212574,0.01097968127578497,0.0,0.0
Cluster_4,1,['Timeliner.wav'],101.33272058823529,172.87256235827664,10.0,C,0.15947461128234863,1277.0237248825192,0.16294008493423462,100.0,0.0
