cluster_name,cluster_id,track_count,track_files,avg_tempo_bpm,tempo_std,avg_duration_seconds,avg_duration_minutes,duration_std_seconds,avg_energy,energy_std,avg_brightness_hz,brightness_std,common_key,key_diversity,avg_phases,climax_percentage,breakdown_percentage,dominant_mood,mood_diversity,dominant_character,character_diversity,homogeneity_score,musical_coherence
Cluster_0,0,2,01_230304_0001_TR11.wav; 2021 10 02 under construction with the soma enner.aif,186.2000,54.5000,262.9200,4.3800,48.2000,0.0074,0.0003,3576.5320,94.0500,C#,2,16.0000,50.0000,0.0000,ethereal,2,rich_texture,1,2.1640,High Coherence
Cluster_1,1,14,01_221214_0001_TR11.wav; 01_230312_0001_TR11.wav; 01_231012_0001_TR11.wav; 01_231020_0001_TR11.wav; 2020 winter chills.aif; 2021 05 01 unclearing.aif; 2021 08 28 in cv 1st experiment.aif; 2021 12 10 do you know blah blah.aif; 2021 melody partially resolute tetrax.aif; 2022 09 17 caving in.aif; 2022-09-25 while madeline sleeps.aif; 2022-12-14 a quatrax cosmos memory.aif; Sentating Spiral Galxies (the poem).mp3; Timeliner.wav,118.3000,28.4000,471.9000,7.8600,314.0900,0.0735,0.0660,1614.1410,477.2930,E,8,24.0710,78.5710,0.0000,synthetic,7,rich_texture,3,6.3230,Low Coherence
Cluster_2,2,14,01_221128_0001_TR11.wav; 01_230103_0002_TR11.wav; 01_230122_0001_TR11.wav; 01_230127_0001_TR11.wav; 01_230211_0001_TR11.wav; 01_230319_0001_TR11.wav; 01_231121_0001_TR11.wav; 2021 04 18 grampy rabbit.aif; 2021 04 24 instead of.aif; 2021 07 10 tristar tribute.aif; 2021 10 06 some enner g.aif; 2021 12 20 chiminy biscuits.aif; 2022 01 15 dont pick up.aif; 2022 06 05 negative 60.aif,112.9000,34.4000,411.7100,6.8600,206.0600,0.0629,0.0994,1665.9910,470.0660,C#,5,25.9290,71.4290,7.1430,synthetic,4,rich_texture,3,2.2340,Low Coherence
Cluster_3,3,11,01_230103_0001_TR11.wav; 01_230224_0001_TR11.wav; 01_230610_0001_TR11.wav; 01_240219_0001_TR11.wav; 2021 02 28 station by the bay.aif; 2021 04 09 flipped tablas.aif; 2021 04 chime time.aif; 2021 05 02 gongs and bongs raw.aif; 2021 10 20 taunted xylophone.aif; 2021 11 20 signal bonus.aif; 2021 earworm.aif,114.1000,33.1000,452.6900,7.5400,170.0900,0.0248,0.0177,2029.0150,601.1610,D,7,31.1820,63.6360,0.0000,synthetic,3,rich_texture,2,2.7020,Low Coherence
Cluster_4,4,2,01_230413_0001_TR11.wav; 2023 04 13 centers.aif,119.2000,9.7000,576.3400,9.6100,0.2200,0.0098,0.0017,2346.9710,58.8210,D,1,20.5000,0.0000,0.0000,atmospheric,1,acoustic_instrument,2,0.1870,High Coherence
