,count,files,avg_tempo,avg_duration,avg_phases,common_key,avg_energy,avg_brightness,energy_variation,has_climax_percent,has_breakdown_percent
Cluster_0,1,['2021 12 20 chiminy biscuits.aif'],129.19921875,328.0,24.0,D,0.01249889936298132,1556.5979714597593,0.01678226888179779,0.0,0.0
Cluster_1,1,['Timeliner.wav'],101.33272058823529,172.87256235827664,10.0,C,0.15947461128234863,1277.0237248825192,0.16294008493423462,100.0,0.0
Cluster_2,1,['2022 06 05 negative 60.aif'],74.89809782608695,252.0,4.0,C,0.026594288647174835,1494.544780374897,0.03012022003531456,0.0,100.0
