cluster_name,cluster_id,track_count,track_files,avg_tempo_bpm,tempo_std,avg_duration_seconds,avg_duration_minutes,duration_std_seconds,avg_energy,energy_std,avg_brightness_hz,brightness_std,common_key,key_diversity,avg_phases,climax_percentage,breakdown_percentage,dominant_mood,mood_diversity,dominant_character,character_diversity,homogeneity_score,musical_coherence
Cluster_0,0,2,Sentating Spiral Galxies (the poem).mp3; Timeliner.wav,30.0000,0.0000,180.3300,3.0100,10.5500,0.1083,0.0723,1985.9260,1002.5390,D#,2,13.0000,50.0000,0.0000,driving,2,rich_texture,2,0.5090,High Coherence
Cluster_1,1,4,2021 04 18 grampy rabbit.aif; 2021 04 24 instead of.aif; 2021 10 06 some enner g.aif; 2021 12 20 chiminy biscuits.aif,30.0000,0.0000,570.1200,9.5000,271.9300,0.1034,0.0624,1288.2430,424.2240,D,2,40.7500,100.0000,0.0000,percussive,2,rich_texture,2,0.7920,High Coherence
Cluster_2,2,17,2020 winter chills.aif; 2021 02 28 station by the bay.aif; 2021 04 09 flipped tablas.aif; 2021 04 chime time.aif; 2021 05 01 unclearing.aif; 2021 05 02 gongs and bongs raw.aif; 2021 07 10 tristar tribute.aif; 2021 08 28 in cv 1st experiment.aif; 2021 10 20 taunted xylophone.aif; 2021 11 20 signal bonus.aif; 2021 12 10 do you know blah blah.aif; 2021 earworm.aif; 2021 melody partially resolute tetrax.aif; 2022 01 15 dont pick up.aif; 2022 09 17 caving in.aif; 2022-09-25 while madeline sleeps.aif; 2022-12-14 a quatrax cosmos memory.aif,30.0000,0.0000,512.3800,8.5400,274.7300,0.0795,0.0901,1693.8680,417.6250,C#,10,30.2940,94.1180,0.0000,synthetic,6,rich_texture,2,2.8190,Low Coherence
Cluster_3,3,2,2021 10 02 under construction with the soma enner.aif; 2022 06 05 negative 60.aif,30.0000,0.0000,274.5000,4.5800,31.8200,0.0169,0.0137,2502.2870,1425.1630,B,2,10.0000,0.0000,0.0000,glitchy,2,rich_texture,2,0.8070,High Coherence
Cluster_4,4,1,2023 04 13 centers.aif,30.0000,,576.5000,9.6100,,0.0110,,2305.3790,,D,1,2.0000,0.0000,0.0000,atmospheric,1,rich_texture,1,0.0000,Single Track
